,laptop_names,links
0,DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5...,https://www.flipkart.com//dell-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-g15-5511-gaming-laptop/p/itmdcffc4f447b58?pid=COMGCNDPWEJ4HZZV&lid=LSTCOMGCNDPWEJ4HZZVH8LIHU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGCNDPWEJ4HZZV.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
1,DELL Ryzen 5 Hexa Core AMD R5-5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,https://www.flipkart.com//dell-ryzen-5-hexa-core-amd-r5-5600h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-120-hz-g15-5515-gaming-laptop/p/itmdcfbf0112dca1?pid=COMGCNDPFGGYSU3U&lid=LSTCOMGCNDPFGGYSU3U8JBUJ2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGCNDPFGGYSU3U.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
2,DELL G15 Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 3050/120 Hz)...,https://www.flipkart.com//dell-g15-core-i5-10th-gen-16-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-3050-120-hz-g15-5510-gaming-laptop/p/itma7f72ad90e541?pid=COMG5N5RCWGEHKMF&lid=LSTCOMG5N5RCWGEHKMFMRBCU3&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_3&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMG5N5RCWGEHKMF.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
3,DELL Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,https://www.flipkart.com//dell-ryzen-7-octa-core-amd-r7-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-120-hz-g15-5515-gaming-laptop/p/itmd6072c16ff0eb?pid=COMGCNDPPGYZEATY&lid=LSTCOMGCNDPPGYZEATYXFM7UI&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGCNDPPGYZEATY.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
4,DELL Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,https://www.flipkart.com//dell-ryzen-7-octa-core-amd-r7-6800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-g15-5525-gaming-laptop/p/itm72f571f01c25d?pid=COMGF3B7K5FAXBXV&lid=LSTCOMGF3B7K5FAXBXV7XH8U5&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_5&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGF3B7K5FAXBXV.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
5,DELL Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RT...,https://www.flipkart.com//dell-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-120-hz-g15-5515-gaming-laptop/p/itmb14d1cbc2f2fe?pid=COMGCNDPPQPTKCMN&lid=LSTCOMGCNDPPQPTKCMNELPPP8&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGCNDPPQPTKCMN.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
6,DELL G15 Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz)...,https://www.flipkart.com//dell-g15-core-i5-10th-gen-16-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-1650-120-hz-g15-5510-inspiron-5510-gaming-laptop/p/itm066161294799e?pid=COMG3P7NZZW3SXFG&lid=LSTCOMG3P7NZZW3SXFGCFKJQR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_7&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMG3P7NZZW3SXFG.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
7,DELL G15 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti...,https://www.flipkart.com//dell-g15-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-ti-g15-5520-gaming-laptop/p/itm77eb3377687fe?pid=COMGDJJYFJ7WC7FH&lid=LSTCOMGDJJYFJ7WC7FH7MUVBO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGDJJYFJ7WC7FH.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
8,DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) G1...,https://www.flipkart.com//dell-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-ti-g15-5511-gaming-laptop/p/itm92d5dd5847b38?pid=COMGBHZBHNRMFBQT&lid=LSTCOMGBHZBHNRMFBQTX8NUWQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_9&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGBHZBHNRMFBQT.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
9,DELL G15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050)...,https://www.flipkart.com//dell-g15-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-rtx-3050-g15-5515-gaming-laptop/p/itm7eac1e01d045c?pid=COMG666G8ETBWZUE&lid=LSTCOMG666G8ETBWZUEKRYO2J&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMG666G8ETBWZUE.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
10,DELL Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,https://www.flipkart.com//dell-ryzen-7-octa-core-amd-r7-5800h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3060-165-hz-g15-5515-gaming-laptop/p/itm95e6acffae149?pid=COMGBHZBMTQDSGEH&lid=LSTCOMGBHZBMTQDSGEHZP9MQO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_11&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGBHZBMTQDSGEH.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
11,DELL G15 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050T...,https://www.flipkart.com//dell-g15-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-rtx-3050ti-g15-5515-gaming-laptop/p/itmaef5ece17c8c4?pid=COMG666GKDNGSXZE&lid=LSTCOMG666GKDNGSXZEZZXCXI&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_12&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMG666GKDNGSXZE.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
12,DELL Ryzen 5 Hexa Core AMD R5-6600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,https://www.flipkart.com//dell-ryzen-5-hexa-core-amd-r5-6600h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-g15-5525-gaming-laptop/p/itmea48513af04cb?pid=COMGF3B76ZGYV8AQ&lid=LSTCOMGF3B76ZGYV8AQKUCYI9&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_13&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGF3B76ZGYV8AQ.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
13,DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) G15...,https://www.flipkart.com//dell-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050ti-g15-5511-gaming-laptop/p/itmb2a2428cfb8bd?pid=COMGAD2BA67TFF8Z&lid=LSTCOMGAD2BA67TFF8ZVKMGYE&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_14&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGAD2BA67TFF8Z.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
14,DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-55...,https://www.flipkart.com//dell-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-g15-5511-gaming-laptop/p/itm357f38f6c001c?pid=COMGCNDPTF3KU7XW&lid=LSTCOMGCNDPTF3KU7XWQ5SKWN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_15&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGCNDPTF3KU7XW.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
15,DELL G15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050Ti/120 H...,https://www.flipkart.com//dell-g15-core-i7-11th-gen-16-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-rtx-3050ti-120-hz-g15-5511-gaming-laptop/p/itm88d4f4ea95a77?pid=COMG666GCXWNZJEA&lid=LSTCOMG666GCXWNZJEAMH5PLO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_16&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMG666GCXWNZJEA.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
16,DELL G15 Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050)...,https://www.flipkart.com//dell-g15-ryzen-5-hexa-core-5600h-16-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-rtx-3050-g15-5515-gaming-laptop/p/itmdaa9e0d35da76?pid=COMG666GPTSHNZ47&lid=LSTCOMG666GPTSHNZ47HRW5HG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_17&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMG666GPTSHNZ47.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
17,DELL G15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-55...,https://www.flipkart.com//dell-g15-core-i7-11th-gen-16-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-rtx-3050-g15-5511-gaming-laptop/p/itm2f1300f7bc357?pid=COMG666GS82TTGW7&lid=LSTCOMG666GS82TTGW7SGCFCO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_18&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMG666GS82TTGW7.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
18,DELL Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,https://www.flipkart.com//dell-ryzen-7-octa-core-amd-r7-6800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-ti-g15-5525-gaming-laptop/p/itm70589bf34961c?pid=COMGFPGWRFMJZDHX&lid=LSTCOMGFPGWRFMJZDHXRJYA3O&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_19&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGFPGWRFMJZDHX.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
19,DELL G15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) ...,https://www.flipkart.com//dell-g15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-1650-120-hz-g15-5510-inspiron-5510-gaming-laptop/p/itmd23032009a131?pid=COMG3P7NGMTA7ZMM&lid=LSTCOMG3P7NGMTA7ZMMOWUJRO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_20&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMG3P7NGMTA7ZMM.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
20,DELL G15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX...,https://www.flipkart.com//dell-g15-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-rtx-3050-g15-5515-gaming-laptop/p/itm5ce555e125ede?pid=COMG666GCGAEM7B8&lid=LSTCOMG666GCGAEM7B8XDHJBQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_21&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMG666GCGAEM7B8.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
21,DELL G15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti...,https://www.flipkart.com//dell-g15-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-ti-165-hz-g15-5511-se-gaming-laptop/p/itm39da14bb5a421?pid=COMGCQQZZYT3G54U&lid=LSTCOMGCQQZZYT3G54UQEYIN0&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_22&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGCQQZZYT3G54U.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
22,DELL Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,https://www.flipkart.com//dell-ryzen-7-octa-core-amd-r7-6800h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3060-g15-5525-gaming-laptop/p/itm51ab2ff100b5f?pid=COMGF3B7WGKG3BH7&lid=LSTCOMGF3B7WGKG3BH75RRX3E&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_23&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMGF3B7WGKG3BH7.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
23,DELL Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-...,https://www.flipkart.com//dell-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-rtx-3050-g15-5515-gaming-laptop/p/itm337b5cde6d860?pid=COMG97ARZGJ5NKCJ&lid=LSTCOMG97ARZGJ5NKCJXAXWXP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_24&otracker=browse&fm=organic&iid=0e04440f-88d1-4136-b385-d72a5c2c7e4a.COMG97ARZGJ5NKCJ.SEARCH&ppt=None&ppn=None&ssid=79wml90a3k0000001667759096827
